Nombre,Provincia,Término_M,Duchas,Aseos,Acceso_dis,Bandera_az,Longitud,X,Y,Grado_ocup,Grado_urba
Costacabana,Almería,Almería,Sí,Sí,Sí,No,1.200 metros,-265018.311700001,4416369.2505,Alto,Urbana
El Bobar,Almería,Almería,No,No,Sí,No,1.300 metros,-268936.757800002,4413740.7941,Bajo,Aislada
El Perdigal,Almería,Almería,No,No,No,No,2.450 metros,-263760.401500002,4416953.4401,Bajo,Aislada
El Toyo,Almería,Almería,Sí,Sí,Sí,No,1.300 metros,-259218.566300001,4416383.1594,Bajo,Urbana
La Almadraba de Monteleva,Almería,Almería,Sí,No,Sí,No,660 metros,-246850.970800001,4404219.8122,Medio,Semiurbana
La Fabriquilla,Almería,Almería,Sí,No,Sí,No,600 metros,-245815.6996,4402733.361,Medio,Semiurbana
La Garrofa,Almería,Almería,No,No,No,No,150 metros,-280090.970800001,4414811.5684,Medio,Aislada
Bellamar,Barcelona,Premià de Mar,Sí,Sí,No,No,260 metros,263103.616500001,5084842.8516,Alto,Urbana
Platja de Llevant,Barcelona,Premià de Mar,Sí,Sí,Sí,No,620 metros,263827.1932,5085065.7681,Medio,Semiurbana
Platja del Litoral,Barcelona,Sant Adrià de Besòs,Sí,Sí,Sí,No,250 metros,248776.798,5074920.8621,Alto,Urbana
L'Estació,Barcelona,Sant Andreu de Llavaneres,Sí,Sí,Sí,No,170 metros,278176.2755,5094596.5633,Alto,Semiurbana
La Victoria,Cádiz,Cádiz,Sí,Sí,Sí,Sí,2.800 metros,-699130.93,4370651.4748,Alto,Urbana
Santa María del Mar,Cádiz,Cádiz,Sí,Sí,Sí,Sí,900 metros,-699943.5623,4372078.0661,Medio,Urbana
Los Barquicos,Almería,Carboneras,Sí,Sí,Sí,Sí,600 metros,-211006.094799999,4438326.2481,Medio,Urbana
Cala Junco,Almería,Adra,No,No,No,No,480 metros,-341016.1281,4403914.1698,Bajo,Aislada
Censo,Almería,Adra,Sí,Sí,Sí,Sí,500 metros,-335004.875599999,4403261.2358,Bajo,Semiurbana
El Lance de la Virgen,Almería,Adra,Sí,No,No,No,490 metros,-339546.7108,4403928.0624,Bajo,Semiurbana
Guainos,Almería,Adra,No,No,No,No,1.420 metros,-341528.197799999,4403803.0293,Bajo,Semiurbana
La Alcazaba,Almería,Adra,No,No,No,No,500 metros,-344522.6921,4404025.3115,Bajo,Semiurbana
La Caracola,Almería,Adra,Sí,No,No,No,350 metros,-337743.335099999,4403955.8478,Medio,Semiurbana
